Location,Size,Price (CZK),Link,Total price,Order ID,Update,Building,Property status,Ownership,Property location,Floor,Usable area,Floorage,Balcony,Move-in date,Water,Heating,Gas,Electricity,Transportation,Energy Performance Rating,Energy Performance Certificate,Loft,Furnished,Elevator,Flat type,Terrace,Cellar,Parking,Energy Performance Indicator,Price,Garden area,Cost of living,Garage,Barrier-free access,Loggia,Reconstruction year,Waste,Telecommunications,Annuity,Acquisition of title,Final building approval year,Road,Built-up area,Construction completion date,Note on the price,ID,Discounted,Original cost,Sales commencement date,Visit site date,Visit site date to,Basin area,Basin,Status,Ceiling height,Share size,Number of owners,Starting price,Expert judgement,Minimum Bid,Auction principal,Type of auction,Venue auction,Auction sale date,1st site visit date,2nd site visit date,Advertisement of auction,Number of flats,Share size of common area
"Kardausova, Praha 10 - Dolní Měcholupy",For sale apartment 2+kt 62 m²,2040000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-dolni-mecholupy-kardausova/1280803404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stočesova, Praha 6 - Ruzyně",For sale apartment 1+kt 30 m²,1590000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-ruzyne-stocesova/2962588236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kryšpínova, Praha 10 - Dolní Měcholupy",For sale apartment 3+kt 96 m²,2300000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-dolni-mecholupy-kryspinova/4011229772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hofbauerova, Praha 6 - Řepy",For sale apartment 2+kt 50 m²,6750000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-repy-hofbauerova/3105129036,6 750 000 CZK per property,N00041,Yesterday,Brick,New homes,Personal,Quiet part of municipality,2. floor of total 3,50 m2,50 m2,4 m2,,,,,,,Class G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Velehradská, Praha - Vinohrady",For sale apartment 2+kt 52 m²,7600000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-vinohrady-velehradska/1868399180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sekaninova, Praha - Nusle",For sale apartment 2+1 65 m² (Attic),9600000,https://www.sreality.cz/en/detail/sale/flat/2+1/praha-nusle-sekaninova/623531340,9 600 000 CZK per property,12329,Today,Mixed,In very good condition,Personal,Quiet part of municipality,6. floor of total 6 including 1 underground,65 m2,,,Immediately,Water supply,Local gas,Gas pipeline,230 V,"Train, Road, Urban public transportation",Class G Coll. 264/2020 complying with,,,,,Attic,,3 m2,,,,,,,,,,Sewerage,Internet,,,1945,,352 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brdičkova, Praha 5 - Stodůlky",For sale apartment 3+kt 95 m²,8390000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-stodulky-brdickova/3021443660,8 290 000 CZK per property,912310,Today,Panel,In very good condition,Personal,,1. floor of total 7,95 m2,95 m2,,Immediately,Water supply,,Gas pipeline,230 V,Urban public transportation,Class C Coll. 148/2007 complying with,,,,,,,2 m2,,,,,,,,10 m2,,Sewerage,"Phone, Internet, Cable TV",,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kolínská, Praha 3 - Vinohrady",For sale apartment 3+1 113 m²,14490000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-vinohrady-kolinska/3924715868,14 490 000 CZK per property,207341,Yesterday,Brick,In very good condition,Personal,Municipality centre,1. floor of total 6,113 m2,113 m2,,,,Local electric,,230 V,,,,,Partially,,,,4 m2,,,,,,,,,2019,,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olbrachtova, Praha 4 - Krč",For sale apartment 3+kt 55 m²,6999000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-krc-olbrachtova/3319833164,6 999 000 CZK per property,,Yesterday,Panel,In very good condition,Personal,,3. floor,55 m2,,,,Water supply,Central district heating,Gas pipeline,,,,,,,,,,,,,,,,,,,,Sewerage,,,,,,,,,3319833164,,,,,,,,,,,,,,,,,,,,,,,
"Štúrova, Praha 4 - Krč",For sale apartment 3+1 69 m²,7499000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-krc-sturova/2200416844,7 499 000 CZK per property,,Yesterday,Panel,In very good condition,Personal,,9. floor of total 9,69 m2,,,,Water supply,Central district heating,Gas pipeline,,,Class C,,,,,,,,,,,,,,,,,Sewerage,,,,,,,,,2200416844,,,,,,,,,,,,,,,,,,,,,,,
"Přádova, Praha 8 - Libeň",For sale apartment 3+1 91 m²,12495000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-liben-pradova/4171661900,12 495 000 CZK per property,1075,29.09.2024,Mixed,In very good condition,Personal,Quiet part of municipality,3. floor of total 4,91 m2,91 m2,,,Water supply,Central gas,Gas pipeline,,"Train, Highway, Road, Urban public transportation, Bus",Class C Coll. 264/2020 complying with,,,Partially,,,,4 m2,,,,,,1,,7 m2,,Sewerage,"Phone, Internet",,,,"Asphalt, Paved",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antala Staška, Praha 4 - Krč",For sale apartment 2+1 52 m²,6490000,https://www.sreality.cz/en/detail/sale/flat/2+1/praha-krc-antala-staska/127173196,6 490 000 CZK per property,APE0138-0001,Yesterday,Panel,In very good condition,Personal,,4. floor of total 4,52 m2,,,,,Central district heating,,,,Class D,,,,,,,2 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praha 4 - Modřany,For sale apartment 3+kt 93 m²,12900000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-modrany-/358580812,12 900 000 CZK per property,VPE0051-0002,Yesterday,Brick,New homes,Personal,,5. floor of total 9,93 m2,,15 m2,,,Local gas,,,,Class B,,,,,,,2 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pod Krocínkou, Praha 9 - Vysočany",For sale apartment 3+kt 119 m²,18060915,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-vysocany-pod-krocinkou/932479564,18 060 915 CZK per property,SSA1396-0002,30.09.2024,Brick,New homes,Personal,,5. floor of total 5,119 m2,,,,,Central gas,,,,Class B,,,,,,,6 m2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pod Krocínkou, Praha 9 - Vysočany",For sale apartment 2+kt 58 m²,8721567,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-vysocany-pod-krocinkou/1607574092,8 721 567 CZK per property,SSA1394-0001,30.09.2024,Brick,New homes,Personal,,4. floor of total 5,58 m2,,9 m2,,,Central gas,,,,Class B,,,,,,,6 m2,,,,,,1,,9 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pod Krocínkou, Praha 9 - Vysočany",For sale apartment 2+kt 70 m²,9799162,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-vysocany-pod-krocinkou/1164878412,9 799 162 CZK per property,SSA1374-0001,Today,Brick,New homes,Personal,,1. floor of total 5,70 m2,,,,,Central gas,,,,Class B,,,,,,,5 m2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Československého exilu, Praha 4 - Modřany",For sale apartment 3+kt 93 m²,12900000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-modrany-ceskoslovenskeho-exilu/1775075916,12 900 000 CZK per property,VPE0052-0002,Yesterday,Brick,New homes,Personal,,5. floor of total 9,93 m2,,15 m2,,,Local gas,,,,Class G,,,,,,,2 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pod Krocínkou, Praha 9 - Vysočany",For sale apartment 2+kt 58 m²,8386705,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-vysocany-pod-krocinkou/2031198796,8 386 705 CZK per property,SSA1391-0001,Today,Brick,New homes,Personal,,3. floor of total 5,58 m2,,9 m2,,,Central gas,,,,Class B,,,,,,,6 m2,,,,,,1,,9 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davidovičova, Praha 9 - Kyje",For sale apartment 3+kt 295 m² (Single-storey),11000000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-kyje-davidovicova/3588850252,11 000 000 CZK per property,,29.09.2024,Brick,In very good condition,Personal,Quiet part of municipality,1. floor of total 5 including 1 underground,295 m2,86 m2,,Immediately,,Central gas,,,"Train, Highway, Road, Urban public transportation, Bus",Class C,Open Energy Performance Certificate,,,,Single-storey,220 m2,,,,,200 m2,,,,,,,"Phone, Internet, Satellite, Cable TV",,,,,,,,3588850252,,,,23.09.2024 16:53,,,,,,,,,,,,,,,,,,,
"Sokolská, Praha 2 - Nové Město",For sale apartment 1+kt 22 m² (Single-storey),4990000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-nove-mesto-sokolska/4248015436,4 990 000 CZK per property,,01.10.2024,Brick,In good condition,Personal,Municipality centre,5. floor of total 6 including 1 underground,22 m2,,,,Water supply,Central gas,,230 V,,Class F Coll. 78/2013 complying with,,,,,Single-storey,,,,,,,,,,,,Sewerage,,,,,,,,,4248015436,,,,,,,,,,,,,,,,,,,,,,,
"Pod Juliskou, Praha 6 - Dejvice",For sale apartment 2+kt 53 m²,11907536,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-dejvice-pod-juliskou/1351824716,11 907 536 CZK per property,C.603,Today,Mixed,New homes,Personal,Quiet part of municipality,6. floor of total 6,53 m2,56 m2,,Immediately,Water supply,Central district heating,,230 V,"Train, Road, Urban public transportation, Bus",Class B Coll. 78/2013 complying with,,,,,,,,,,,,,,,7 m2,,Sewerage,"Internet, Cable distribution, Other",,,,Asphalt,,31.03.2024,,,,,26.10.2022,,,,,,,,,,,,,,,,,,,,
"Pod Juliskou, Praha 6 - Dejvice",For sale apartment 4+kt 114 m²,21621832,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-dejvice-pod-juliskou/1596097100,21 621 832 CZK per property,C.301,Today,Mixed,New homes,Personal,Quiet part of municipality,3. floor of total 6,114 m2,120 m2,,Immediately,Water supply,Central district heating,,230 V,"Train, Road, Urban public transportation, Bus",Class B Coll. 78/2013 complying with,,,,,,,,,,,,,,,15 m2,,Sewerage,"Internet, Cable distribution, Other",,,,Asphalt,,31.03.2024,,,,,26.10.2022,,,,,,,,,,,,,,,,,,,,
"Pod Juliskou, Praha 6 - Dejvice",For sale apartment 4+kt 116 m²,22638328,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-dejvice-pod-juliskou/1761822028,22 638 328 CZK per property,C.103,Today,Mixed,New homes,Personal,Quiet part of municipality,1. floor of total 6,116 m2,120 m2,,Immediately,Water supply,Central district heating,,230 V,"Train, Road, Urban public transportation, Bus",Class B Coll. 78/2013 complying with,,,,,,9 m2,,,,,27 m2,,,,9 m2,,Sewerage,"Internet, Cable distribution, Other",,,,Asphalt,,31.03.2024,,,,,26.10.2022,,,,,,,,,,,,,,,,,,,,
"Pod Juliskou, Praha 6 - Dejvice",For sale apartment 2+kt 53 m²,11989260,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-dejvice-pod-juliskou/2587669068,11 989 260 CZK per property,A.503,Today,Mixed,New homes,Personal,Quiet part of municipality,5. floor of total 6,53 m2,56 m2,,Immediately,Water supply,Central district heating,,230 V,"Train, Road, Urban public transportation, Bus",Class B Coll. 78/2013 complying with,,,,,,,,,,,,,,,7 m2,,Sewerage,"Internet, Cable distribution, Other",,,,Asphalt,,31.03.2024,,,,,26.10.2022,,,,,,,,,,,,,,,,,,,,
"Pod Juliskou, Praha 6 - Dejvice",For sale apartment 2+kt 55 m²,10982516,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-dejvice-pod-juliskou/4045570636,10 982 516 CZK per property,A.104,Today,Mixed,New homes,Personal,Quiet part of municipality,1. floor of total 6,55 m2,58 m2,,Immediately,Water supply,Central district heating,,230 V,"Train, Road, Urban public transportation, Bus",Class B Coll. 78/2013 complying with,,,,,,16 m2,,,,,22 m2,,,,,,Sewerage,"Internet, Cable distribution, Other",,,,Asphalt,,31.03.2024,,,,,26.10.2022,,,,,,,,,,,,,,,,,,,,
"Andersenova, Praha 10 - Štěrboholy",For sale apartment 1+kt 46 m²,5150000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-sterboholy-andersenova/3067327052,5 150 000 CZK per property,930,Yesterday,Brick,Renovated,Personal,,3. floor of total 5,46 m2,46 m2,7 m2,Immediately,Water supply,Central gas,,230 V,"Road, Urban public transportation, Bus",Class C Coll. 78/2013 complying with,,,Partially,,,,,,98.0 kWh/m^2 /year,,,,,,7 m2,,Sewerage,"Phone, Internet, Cable TV, Cable distribution",,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Petržílkova, Praha 5 - Stodůlky",For sale apartment 4+kt 120 m²,11490000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-stodulky-petrzilkova/1677538636,11 490 000 CZK per property,06333,29.09.2024,Brick,In good condition,Personal,Municipality centre,2. floor of total 9 including 2 underground,120 m2,120 m2,,,Water supply,Central district heating,,230 V,"Highway, Road, Urban public transportation, Bus",Class G,,,Partially,,,,3 m2,,,,,,,,,,Sewerage,"Internet, Cable distribution",,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Žitenická, Praha 9 - Prosek",For sale apartment 1+kt 40 m²,6150000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-prosek-zitenicka/3312120396,6 150 000 CZK per property,1012,Yesterday,Brick,In very good condition,Personal,,2. floor of total 5,40 m2,40 m2,,01.11.2024,Water supply,,,,"Urban public transportation, Bus",Class A Coll. 78/2013 complying with,,,,,,,5 m2,,,,,,,,,,Sewerage,"Internet, Cable distribution",,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V Dolině, Praha 10 - Michle",For sale apartment 2+kt 57 m²,7800000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-michle-v-doline/4252865100,7 800 000 CZK per property,0022,Today,Brick,New homes,Personal,,8. floor of total 12 including 2 underground,57 m2,66 m2,6 m2,,,,,,,Class C Coll. 264/2020 complying with,Open Energy Performance Certificate,,,,,,3 m2,,,,,,1,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kačírkova, Praha 5 - Jinonice",For sale apartment 2+kt 51 m²,8899000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-jinonice-kacirkova/3812160076,8 899 000 CZK per property,1003,Yesterday,Brick,In very good condition,Personal,Quiet part of municipality,2. floor of total 8,51 m2,55 m2,4 m2,,Water supply,Central district heating,,,"Road, Urban public transportation, Bus",Class B Coll. 264/2020 complying with,Open Energy Performance Certificate,,Partially,,,,,1,,,,,,,,,Sewerage,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nekázanka, Praha - Nové Město",For sale apartment 4+kt 160 m² (Attic),39900000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-nove-mesto-nekazanka/3660465228,39 900 000 CZK per property,701,Today,Brick,In renovation,Personal,Municipality centre,7. floor,160 m2,191 m2,,Immediately,Water supply,,,230 V,"Road, Urban public transportation",Class G,,,,,Attic,51 m2,1 m2,,,,,,,,,2023,Sewerage,"Internet, Cable distribution",,,,"Concrete, Paved",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farkašova, Praha 9 - Kyje",For sale apartment 2+kt 56 m²,6750000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-kyje-farkasova/2816512588,6 750 000 CZK per property,0205-NP10593,Yesterday,Brick,In very good condition,Personal,Quiet part of municipality,1. floor of total 7 including 1 underground,56 m2,56 m2,,01.11.2024,,,,,,Class C Coll. 148/2007 complying with,,,Partially,,,12 m2,,,110.0 kWh/m^2 /year,,36 m2,,2,,,,Sewerage,,,,2014,,,,price includes all costs,,,,,,,,,,,,,,,,,,,,,,,,
"Dubrovnická, Praha - Košíře",For sale apartment 1+1 31 m²,4899000,https://www.sreality.cz/en/detail/sale/flat/1+1/praha-kosire-dubrovnicka/2538271308,4 899 000 CZK per property,886491,Yesterday,Brick,In good condition,Cooperative,Quiet part of municipality,3. floor of total 4,31 m2,,,Immediately,,Local electric,,230 V,"Road, Urban public transportation, Bus",,,,Partially,,,,,,,,,,,,,,Sewerage,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rytířova, Praha 4 - Kamýk",For sale apartment 4+1 90 m²,9500000,https://www.sreality.cz/en/detail/sale/flat/4+1/praha-kamyk-rytirova/1142325836,9 500 000 CZK per property,885637,01.10.2024,Panel,In very good condition,Personal,Housing development,7. floor of total 8,90 m2,,,,,Central district heating,Gas pipeline,230 V,"Road, Urban public transportation",Class C Coll. 148/2007 complying with,,,,,,,,,,,,,,,,,Sewerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nad vojenským hřbitovem, Praha - Střešovice",For sale apartment 3+kt 62 m²,8290000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-stresovice-nad-vojenskym-hrbitovem/946049612,8 290 000 CZK per property,1753,01.10.2024,Brick,In very good condition,Personal,,1. floor of total 4,62 m2,,,,,Central gas,Gas pipeline,,"Road, Urban public transportation, Bus",Class G Coll. 264/2020 complying with,,,,,,,3 m2,,,,,,,,,,Sewerage,,,,1936,,218 m2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Podskalská, Praha - Nové Město",For sale apartment 3+kt 89 m²,16590000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-nove-mesto-podskalska/2715918924,16 590 000 CZK per property,1739,01.10.2024,Brick,In very good condition,Personal,Municipality centre,1. floor of total 7,89 m2,,,,Water supply,Local gas,Gas pipeline,,"Road, Urban public transportation",Class G Coll. 264/2020 complying with,,,,,,,3 m2,,,,,,,,,,Sewerage,,,,1945,"Paved, Asphalt",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ke Kapslovně, Praha - Žižkov",For sale apartment 3+kt 140 m²,16290000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-zizkov-ke-kapslovne/4036473420,16 290 000 CZK per property,1705,01.10.2024,Mixed,In very good condition,Personal,Quiet part of municipality,7. floor of total 13 including 2 underground,140 m2,,,,Water supply,Central district heating,Gas pipeline,230 V,Urban public transportation,Class B Coll. 78/2013 complying with,,,,,,42 m2,5 m2,,,,,,1,,,,Sewerage,,,,2008,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jindřicha Bubeníčka, Praha 10 - Uhříněves",For sale apartment 4+kt 69 m²,8500000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-uhrineves-jindricha-bubenicka/4216881740,8 500 000 CZK per property,884594,29.09.2024,Brick,In good condition,Personal,Municipality centre,5. floor of total 7,69 m2,,,,,,,,"Road, Bus",Class C Coll. 148/2007 complying with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jindřicha Bubeníčka, Praha 10 - Uhříněves",For sale apartment 4+kt 69 m²,8400000,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-uhrineves-jindricha-bubenicka/2287501900,8 400 000 CZK per property,884592,29.09.2024,Brick,In good condition,Personal,Municipality centre,4. floor of total 7,69 m2,,,,,,,,"Road, Bus",Class C Coll. 148/2007 complying with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perucká, Praha - Vinohrady",For sale apartment 1+kt 26 m²,4499998,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-vinohrady-perucka/4089180748,4 499 998 CZK per property,884093,01.10.2024,Brick,In very good condition,Personal,Quiet part of municipality,4. floor of total 5,26 m2,,,,,Central district heating,,230 V,"Road, Urban public transportation, Bus",Class B Coll. 148/2007 complying with,,,,,,,,,,,,,,,,,Sewerage,"Internet, Cable TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milotická, Praha 5 - Zličín",For sale apartment 2+kt 47 m²,7200000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-zlicin-miloticka/1009562188,7 200 000 CZK per property,879606,29.09.2024,Brick,In very good condition,Personal,Housing development,2. floor of total 9,47 m2,,,Immediately,,Central district heating,Gas pipeline,"120 V, 230 V","Road, Urban public transportation, Bus",Class C Coll. 148/2007 complying with,,,Partially,,,,,1,,,,,,,,,Sewerage,"Phone, Internet, Cable TV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naskové, Praha - Košíře",For sale apartment 4+kt 144 m²,Information about price at agency,https://www.sreality.cz/en/detail/sale/flat/4+kt/praha-kosire-naskove/2676188492,,873649,Today,Framed structure,New homes,Personal,Quiet part of municipality,6. floor of total 7 including 1 underground,144 m2,,,,,Other,,"120 V, 230 V","Road, Urban public transportation, Bus",Class B Coll. 148/2007 complying with,,,,,,132 m2,4 m2,2,,Info on price at REA,,"Zálohy na služby ve výši 7.707 Kč, zálohy na elektřinu 2.000 Kč",,,,,Sewerage,"Phone, Internet",,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rubešova, Praha 2 - Vinohrady",For sale apartment 3+kt 100 m²,18990000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-vinohrady-rubesova/1900122700,18 990 000 CZK per property,36990,Today,Brick,New homes,Personal,,3. floor of total 8 including 3 underground,100 m2,,,,,,,,,Class B Coll. 78/2013 complying with,,,,,,,,1,90.0 kWh/m^2 /year,,,,1,,2 m2,,,,,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stočesova, Praha 6 - Ruzyně",For sale apartment 3+kt 79 m²,12950000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-ruzyne-stocesova/3673993804,12 950 000 CZK per property,36957,Today,Framed structure,New homes,Personal,,2. floor,79 m2,,,,,,,,,Class B Coll. 78/2013 complying with,,,Partially,,,12 m2,,1,80.0 kWh/m^2 /year,,,,1,,9 m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sněženková, Praha 10 - Záběhlice",For sale apartment 3+1 72 m²,7190000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-zabehlice-snezenkova/74941004,7 190 000 CZK per property,0020-NP09478,30.09.2024,Panel,Renovated,Personal,,1. floor of total 6,72 m2,72 m2,,,Water supply,Central district heating,Gas pipeline,230 V,Urban public transportation,Class C Coll. 78/2013 complying with,,,,,,,4 m2,,,,,,,,3 m2,,Sewerage,,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paříkova, Praha 9 - Vysočany",For sale apartment 1+kt 44 m²,6099999,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-vysocany-parikova/1287098956,6 099 999 CZK per property,1768,28.09.2024,Brick,In very good condition,Personal,,2. floor of total 11,44 m2,44 m2,5 m2,Immediately,Water supply,Central district heating,,230 V,"Train, Highway, Road, Urban public transportation, Bus",Class C Coll. 78/2013 complying with,Open Energy Performance Certificate,,,,,,,,,,,,,,,,Sewerage,"Phone, Internet, Satellite, Cable TV, Cable distribution",,,,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perucká, Praha 2 - Vinohrady",For sale apartment 1+kt 41 m²,5250000,https://www.sreality.cz/en/detail/sale/flat/1+kt/praha-vinohrady-perucka/4182938188,5 250 000 CZK per property,63273,Yesterday,Mixed,In very good condition,Personal,,3. floor,41 m2,,,01.12.2024,Water supply,Central district heating,,,Road,Class C,Open Energy Performance Certificate,,Partially,,,,,,,,,,,,,,Sewerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Místecká, Praha 9 - Letňany",For sale apartment 3+1 67 m² (Single-storey),7890000,https://www.sreality.cz/en/detail/sale/flat/3+1/praha-letnany-mistecka/1236988492,7 890 000 CZK per property,,Yesterday,Panel,Renovated,Personal,Housing development,4. floor of total 13,67 m2,67 m2,,Immediately,Water supply,Central gas,Gas pipeline,230 V,Urban public transportation,,,,Partially,,Single-storey,,2 m2,,,,,5500,,,4 m2,2014,Sewerage,Cable distribution,,,,Asphalt,,,,1236988492,,,28.09.2024,,,,,,,,,,,,,,,,,,,,
"Rezlerova, Praha 10 - Petrovice",For sale apartment 3+kt 64 m²,6900000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-petrovice-rezlerova/3183903308,6 900 000 CZK per property,64332,Yesterday,Panel,In good condition,Personal,,5. floor,64 m2,,,Immediately,,,,,,Class G,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trmická, Praha 9 - Prosek",For sale apartment 5+kt 132 m²,16690000,https://www.sreality.cz/en/detail/sale/flat/5+kt/praha-prosek-trmicka/102015564,16 690 000 CZK per property,62885,Yesterday,Framed structure,In very good condition,Personal,,4. floor,132 m2,,,01.11.2024,,,,,,Class C,Open Energy Performance Certificate,,,,,,,,,,,12000,,,,,Sewerage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Českého červeného kříže, Praha 5 - Lipence",For sale apartment 2+kt 84 m²,6900000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-lipence-ceskeho-cerveneho-krize/2317517388,6 900 000 CZK per property,64268,01.10.2024,Brick,Renovated,Personal,,1. floor of total 2,84 m2,71 m2,,Immediately,Water supply,Local electric,,230 V,"Highway, Road, Urban public transportation, Bus",Class G,,,,,,,12 m2,2,,,,,,,,,Sewerage,"Cable distribution, Other",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bělomlýnská, Praha - Praha-Čakovice",For sale apartment 2+kt 53 m²,6960800,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-praha-cakovice-belomlynska/3013616972,6 960 800 CZK per property,D4.3.06,Yesterday,Framed structure,New homes,Personal,Quiet part of municipality,3. floor of total 3 including 1 underground,53 m2,50 m2,4 m2,,Water supply,Central gas,,"230 V, 400 V","Train, Road, Urban public transportation, Bus",Class B Coll. 264/2020 complying with,,,,,,,4 m2,1,50.0 kWh/m^2 /year,,,,,,,,Sewerage,"Internet, Cable TV, Cable distribution",,,2027,"Concrete, Paved, Asphalt",,31.12.2026,,,,,,,,,,,,,,,,,,,,,,,,,
"Janovského, Praha - Holešovice",For sale apartment 2+kt 50 m²,7080000,https://www.sreality.cz/en/detail/sale/flat/2+kt/praha-holesovice-janovskeho/4172367180,6 900 000 CZK per property,10035,Yesterday,Brick,New homes,Cooperative,Quiet part of municipality,5. floor of total 6,50 m2,49 m2,,Immediately,Water supply,,"Individual, Gas pipeline",230 V,,Class E Coll. 264/2020 complying with,Open Energy Performance Certificate,,,,,,3 m2,,128.0 kWh/m^2 /year,,,,,,,,Sewerage,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nad vodovodem, Praha 10 - Malešice",For sale apartment 3+kt 105 m²,8990000,https://www.sreality.cz/en/detail/sale/flat/3+kt/praha-malesice-nad-vodovodem/242594380,8 990 000 CZK per property,0968,Yesterday,Brick,In very good condition,Cooperative,,4. floor of total 5,105 m2,,,,Water supply,Local gas,Gas pipeline,230 V,"Road, Urban public transportation, Bus",Class G Coll. 264/2020 complying with,,,,,,,7 m2,,,,,,,,,,Sewerage,"Phone, Internet",,No,1960,Asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,
